1940;xsmith@whitney.com;Jade Garrett;36;389.62
2108;xhernandez@hotmail.com;Walter Gilbert;48;308.3
2262;ericlewis@gmail.com;Shirley Scott;95;165.95
4639;sallen@hotmail.com;Jason Rice;91;302.79
388;lisa75@hotmail.com;John Cline;15;722.17
1261;benjaminterri@yahoo.com;Alexander Hudson;34;835.05
2770;kristin13@yahoo.com;Danny Saunders;94;515.85
4069;nsilva@gmail.com;Jodi Reed MD;80;383.65
2026;christopher90@yahoo.com;Rebecca Davis;56;902.58
550;snyderjulia@keller.com;James Benitez;38;661.73
264;farmerjeremy@yahoo.com;Michelle Ross;47;975.23
2382;tammy59@yahoo.com;Madeline Torres;47;612.99
2190;nancylara@jenkins.net;Travis Adkins;53;126.41
1725;edwarddavis@tucker-mitchell.com;Amanda Conway;85;729.89
2226;walkertheresa@yahoo.com;Jason Cortez;42;430.63
1734;taylor93@vazquez.net;Jason Collins;39;188.86
876;ywells@yahoo.com;Michelle Gomez;69;315.74
255;zvaughn@gmail.com;William Wall;13;567.81
1528;amber62@gmail.com;Alyssa Winters;94;209.78
1741;jeverett@hotmail.com;Samantha Sparks;32;891.99
3108;jacobroberts@hotmail.com;John Parrish;40;370.0
4787;amanda63@hall-cole.org;Kaitlin Oliver;97;720.47
782;monroealexis@knapp-rios.com;Tara Black;14;35.11
634;linemily@hotmail.com;Jennifer Cooke;100;480.25
1926;jameswest@james.biz;Kathy Burton;39;155.32
3658;brownisaac@hines.com;Julie Schmidt;82;18.7
4364;stacey33@hotmail.com;Dustin Green;75;229.16
1619;weaverjoseph@little.info;Sarah Tucker;19;680.9
1203;gregorytamara@taylor-garcia.com;William Guzman;52;733.69
2210;mitchelldaniel@gmail.com;Martin Diaz;95;739.7
3869;fsnyder@jackson.com;Jeffrey Vaughan MD;71;169.53
1479;tiffanyjohnson@hotmail.com;Joseph George;50;277.81
736;nathan54@hotmail.com;Paul Parker;42;488.02
623;ipatel@yahoo.com;Laurie Haney;82;794.71
2390;chelsea63@hotmail.com;Christine Brown;54;563.53
4066;julie07@baker.com;Bryan Ramos;36;37.86
